medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Gold,Moozie,"Brink Brewing Co.",Cincinnati,OH,"Sweet Stout or Cream Stout",2019,"-84.506 39.1412",39.1412,-84.506,GABF
Silver,"Emperor Norton's Sweet Stout","21st Amendment Brewery","San Leandro",CA,"Sweet Stout or Cream Stout",2019,"-122.1601 37.7071",37.7071,-122.1601,GABF
Bronze,"Volcano Mudslide Sweet Stout","Feather Falls Brewing Co.",Oroville,CA,"Sweet Stout or Cream Stout",2019,"-121.5634 39.4999",39.4999,-121.5634,GABF
Gold,Jomo,"Starr Hill Brewery",Crozet,VA,"Vienna-Style Lager",2019,"-78.6962 38.0645",38.0645,-78.6962,GABF
Silver,"Vienna Lager","Grains of Wrath Brewing",Camas,WA,"Vienna-Style Lager",2019,"-122.4306 45.6003",45.6003,-122.4306,GABF
Bronze,"Moonlight Sonata","Chilly Water Brewing Co.",Indianapolis,IN,"Vienna-Style Lager",2019,"-86.1458 39.7771",39.7771,-86.1458,GABF
Gold,"Amburana Dream","Denver Beer Co. - Olde Town Arvada",Arvada,CO,"Wood- and Barrel-Aged Beer",2019,"-105.1511 39.8321",39.8321,-105.1511,GABF
Silver,"Gran Muckle","Sun King Brewing",Indianapolis,IN,"Wood- and Barrel-Aged Beer",2019,"-86.1458 39.7771",39.7771,-86.1458,GABF
Bronze,"Bourbon Barrel Aged Lady In Red","Bombshell Beer Co.","Holly Springs",NC,"Wood- and Barrel-Aged Beer",2019,"-78.8403 35.654",35.654,-78.8403,GABF
Gold,"Sour Brown Aged on Palo Santo","Hi-Wire Brewing - South Slope",Asheville,NC,"Wood- and Barrel-Aged Sour Beer",2019,"-82.5537 35.5704",35.5704,-82.5537,GABF
Silver,"Agent Orange - Apple Brandy Barrel","Rowley Farmhouse Ales","Santa Fe",NM,"Wood- and Barrel-Aged Sour Beer",2019,"-105.9819 35.6619",35.6619,-105.9819,GABF
Bronze,"Reserve Doree","The Chamber By Wooden Robot Brewery",Charlotte,NC,"Wood- and Barrel-Aged Sour Beer",2019,"-80.8304 35.2079",35.2079,-80.8304,GABF
Gold,"Knotty Dog","Big Dog's Brewing Co.","Las Vegas",NV,"Wood- and Barrel-Aged Strong Beer",2019,"-115.2654 36.2333",36.2333,-115.2654,GABF
Silver,"Double Barrel Louie","Westbound & Down Brewing Co.","Idaho Springs",CO,"Wood- and Barrel-Aged Strong Beer",2019,"-105.5 39.7445",39.7445,-105.5,GABF
Gold,"Chinook Alaskan Amber","Alaskan Brewing and Bottling Co.",Juneau,AK,Alts,1988,"-134.1739 58.4546",58.4546,-134.1739,GABF
Silver,"Iron Horse Alt","Devil Mountain Brewery",Cincinnati,OH,Alts,1988,"-84.506 39.1412",39.1412,-84.506,GABF
Gold,"Boston Lightship","Boston Beer Co.",Boston,MA,"American Light Pilsners",1988,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"Dixie Amber Light","Dixie Brewing Co. Inc","New Orleans",LA,"American Light Pilsners",1988,"-89.9288 30.0687",30.0687,-89.9288,GABF
Bronze,"Coors Extra Gold","Coors Brewing Co.",Golden,CO,"American Light Pilsners",1988,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,Busch,"Anheuser-Busch, Inc","Saint Louis",MO,"American Pilseners",1988,,,,GABF
Silver,"Old Style","Anheuser-Busch, Inc","Saint Louis",MO,"American Pilseners",1988,,,,GABF
Bronze,"Miller Genuine Draft","Miller Brewing Co.",Milwaukee,WI,"American Pilseners",1988,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Michelob Dark","Anheuser-Busch, Inc","Saint Louis",MO,"American Premium Dark Pilseners",1988,,,,GABF
Silver,"Burghoff Dark","Joseph Huber Brewing Co.",Monroe,WI,"American Premium Dark Pilseners",1988,"-89.6381 42.603",42.603,-89.6381,GABF
Bronze,"Killian Irish Red Lager","Coors Brewing Co.",Golden,CO,"American Premium Dark Pilseners",1988,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,Signature,"Stroh Brewery Co. (The)",Milwaukee,WI,"American Premium Pilseners",1988,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Darryl's Original Premium Lager Beer","Gilbert Robinson Inc","Kansas City",MO,"American Premium Pilseners",1988,"-94.5541 39.1239",39.1239,-94.5541,GABF
Bronze,"Leinenkugel Premium","Jacob Leinenkugel Brewing Co.","Chippewa Falls",WI,"American Premium Pilsners",1988,"-91.3902 44.9359",44.9359,-91.3902,GABF
Gold,"Bigfoot Barley Wine Style Ale","Sierra Nevada Brewing Co.",Chico,CA,"Barley Wines",1988,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Sieben's Barley Wine","J.E. Siebel & Sons Co. Inc",Chicago,IL,"Barley Wines",1988,"-87.6862 41.8373",41.8373,-87.6862,GABF
Gold,"Black Horse Ale","Genesee/High Falls Brewing",Rochester,NY,"Blond/Golden Ales",1988,"-77.6162 43.168",43.168,-77.6162,GABF
Silver,"12 Horse Ale","Genesee/High Falls Brewing",Rochester,NY,"Blond/Golden Ales",1988,"-77.6162 43.168",43.168,-77.6162,GABF
Gold,"Sieben's Bock","J.E. Siebel & Sons Co. Inc",Chicago,IL,Bocks,1988,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Bach's Bock","Eugene City Brewery",Eugene,OR,Bocks,1988,"-123.1173 44.0563",44.0563,-123.1173,GABF
Bronze,"Mai Bock","Sprecher Brewing Co.",Glendale,WI,Bocks,1988,"-87.9277 43.1288",43.1288,-87.9277,GABF
Gold,"Eagen's Irish Ale","Tap & Growler",Chicago,IL,"Brown Ales",1988,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Pete's Wicked Ale","Pete's Brewing Co.","San Antonio",TX,"Brown Ales",1988,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Tied House Amber","Redwood Coast Brewing Co.","Santa Cruz",CA,"Brown Ales",1988,"-122.0346 36.9789",36.9789,-122.0346,GABF
"First Place","Chinook Alaskan Amber","Alaskan Brewing and Bottling Co.",Juneau,AK,"Consumer Preference Poll",1988,"-134.1739 58.4546",58.4546,-134.1739,GABF
Gold,"Little Kings Cream Ale","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"Cream Ales",1988,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Genesee Cream Ale","Genesee/High Falls Brewing",Rochester,NY,"Cream Ales",1988,"-77.6162 43.168",43.168,-77.6162,GABF
Gold,Ambier,"Ambier Brewing Co.",Milwaukee,WI,"European Ambers",1988,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Hibernia Master Brew","Hibernia Brewing Co.","Eau Claire",WI,"European Ambers",1988,"-91.4951 44.82",44.82,-91.4951,GABF
Bronze,"James Page Private Stock","James Page Brewing Co.","Stevens Point",WI,"European Ambers",1988,"-89.5508 44.5241",44.5241,-89.5508,GABF
Gold,"Gartenbrau Dark","Capital Brewery Co. Inc",Middleton,WI,"European Darks",1988,"-89.5058 43.1064",43.1064,-89.5058,GABF
Silver,"Water Street Oktoberfest","Water Street Brewery",Waltham,MA,"European Darks",1988,"-71.2423 42.3889",42.3889,-71.2423,GABF
Bronze,"Black Bavarian","Sprecher Brewing Co.",Glendale,WI,"European Darks",1988,"-87.9277 43.1288",43.1288,-87.9277,GABF
Gold,"August Schell Pilsner","August Schell Brewing Co.","New Ulm",MN,"European Pilsner",1988,"-94.468 44.3119",44.3119,-94.468,GABF
Silver,"Stoudt Gold","Stoudt's Brewing Co.",Adamstown,PA,"European Pilsner",1988,"-76.0608 40.2417",40.2417,-76.0608,GABF
Bronze,"Hope Lager","Hope Brewing Co.",Providence,RI,"European Pilsner",1988,"-71.4187 41.823",41.823,-71.4187,GABF
Gold,"T.W. Fisher's Centennial Pale Ale","Coeur D'Alene Brewing Co.","Coeur D'Alene",ID,"Pale Ales",1988,,,,GABF
Silver,"Anchor Liberty Ale","Anchor Brewing Co.","San Francisco",CA,"Pale Ales",1988,"-122.443 37.7562",37.7562,-122.443,GABF
Bronze,"Calistoga Ale","Napa Valley Brewing Co.",Calistoga,CA,"Pale Ales",1988,"-122.5824 38.5818",38.5818,-122.5824,GABF
Gold,"Anchor Porter","Anchor Brewing Co.","San Francisco",CA,Porters,1988,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Chinook Porter","Alaskan Brewing and Bottling Co.",Juneau,AK,Porters,1988,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"The Devil's Brew","Devil Mountain Brewery",Cincinnati,OH,Porters,1988,"-84.506 39.1412",39.1412,-84.506,GABF
Gold,"Humboldt Oatmeal Stout","Humboldt Brewery",Arcata,CA,Stouts,1988,"-124.0757 40.8615",40.8615,-124.0757,GABF
Silver,"Sierra Nevada Stout","Sierra Nevada Brewing Co.",Chico,CA,Stouts,1988,"-121.8152 39.7575",39.7575,-121.8152,GABF
Bronze,"Boulder Stout","Rockies Brewing Co.",Boulder,CO,Stouts,1988,"-105.2523 40.0249",40.0249,-105.2523,GABF
Gold,"Railroad Ale","Devil Mountain Brewery",Cincinnati,OH,"Strong Ales",1988,"-84.506 39.1412",39.1412,-84.506,GABF
Silver,"Ankner's Best Bitter","Tap & Growler",Chicago,IL,"Strong Ales",1988,"-87.6862 41.8373",41.8373,-87.6862,GABF
Gold,"August Schell Weiss","August Schell Brewing Co.","New Ulm",MN,"Wheat Beers",1988,"-94.468 44.3119",44.3119,-94.468,GABF
Silver,"Anchor Wheat Beer","Anchor Brewing Co.","San Francisco",CA,"Wheat Beers",1988,"-122.443 37.7562",37.7562,-122.443,GABF
"First Place","Sierra Nevada Pale Ale","Sierra Nevada Brewing Co.",Chico,CA,"Consumer Preference Poll",1983,"-121.8152 39.7575",39.7575,-121.8152,GABF
"Second Place","Sierra Nevada Porter","Sierra Nevada Brewing Co.",Chico,CA,"Consumer Preference Poll",1983,"-121.8152 39.7575",39.7575,-121.8152,GABF
"Third Place","Anchor Porter","Anchor Brewing Co.","San Francisco",CA,"Consumer Preference Poll",1983,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Alaskan Autumn Ale","Alaskan Brewing and Bottling Co.",Juneau,AK,"American Amber Ale",1995,"-134.1739 58.4546",58.4546,-134.1739,GABF
Silver,"California Amber Ale","Fremont Brewing Co.",Fremont,CA,"American Amber Ale",1995,"-121.9852 37.5265",37.5265,-121.9852,GABF
Bronze,"Boont Amber Ale","Anderson Valley Brewing Co.",Boonville,CA,"American Amber Ale",1995,"-123.374 39.0115",39.0115,-123.374,GABF
Gold,"Golden Gate Original Ale","Golden Pacific Brewing Co.",Berkeley,CA,"American Brown Ale",1995,"-122.276 37.8723",37.8723,-122.276,GABF
Silver,"Oregon Trail Brown Ale","Oregon Trail Brewery",Corvallis,OR,"American Brown Ale",1995,"-123.2781 44.5696",44.5696,-123.2781,GABF
Bronze,"Pete's Wicked Ale","Pete's Brewing Co.","San Antonio",TX,"American Brown Ale",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
"Honorable Mention","Naughty Monkey Brown Ale","Seabright Brewery","Santa Cruz",CA,"American Brown Ale",1995,"-122.0346 36.9789",36.9789,-122.0346,GABF
Gold,"Red Dog","Miller Brewing Co.",Milwaukee,WI,"American Lager",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Old Style Lager","G. Heileman Brewing Co.","San Antonio",TX,"American Lager",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Original Coors","Coors Brewing Co.",Golden,CO,"American Lager",1995,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,"Liebotschaner Cream Ale","Lion Brewery Inc (The)",Wilkes-Barre,PA,"American Lager / Ale Or Cream Ale",1995,"-75.8759 41.2468",41.2468,-75.8759,GABF
Silver,"Yellow Rose Cream Ale","Hoffbrau Steaks Brewery",Dallas,TX,"American Lager / Ale Or Cream Ale",1995,"-96.7662 32.7936",32.7936,-96.7662,GABF
Bronze,"Genesee Cream Ale","Genesee/High Falls Brewing",Rochester,NY,"American Lager / Ale Or Cream Ale",1995,"-77.6162 43.168",43.168,-77.6162,GABF
Gold,"Pabst Genuine Draft Light","Pabst Brewing Co.","San Antonio",TX,"American Light Lager",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,"Bud Light","Anheuser-Busch, Inc","Saint Louis",MO,"American Light Lager",1995,,,,GABF
Bronze,"Lone Star Light","Lone Star Brewing Co.",Milwaukee,WI,"American Light Lager",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Olde English 800","Pabst Brewing Co.","San Antonio",TX,"American Malt Liquor",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,"Schlitz Malt Liquor","Stroh Brewery Co. (The)",Milwaukee,WI,"American Malt Liquor",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,Laser,"Stroh Brewery Co. (The)",Milwaukee,WI,"American Malt Liquor",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Sierra Nevada Pale Ale","Sierra Nevada Brewing Co.",Chico,CA,"American Pale Ale",1995,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Snake River Pale Ale","Snake River Brewing Co.",Jackson,WY,"American Pale Ale",1995,"-110.7745 43.4721",43.4721,-110.7745,GABF
Bronze,"Post Road Pale Ale","Old Marlborough Brewing Co.",Framingham,MA,"American Pale Ale",1995,"-71.4368 42.3085",42.3085,-71.4368,GABF
Gold,Budweiser,"Anheuser-Busch, Inc","Saint Louis",MO,"American Premium Lager",1995,,,,GABF
Silver,"Point Special","Barton Beers Ltd",Chicago,IL,"American Premium Lager",1995,"-87.6862 41.8373",41.8373,-87.6862,GABF
Bronze,"Pearl Premium Lager","Pearl Brewing Co.",Milwaukee,WI,"American Premium Lager",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Olympia Dry","Pabst Brewing Co.","San Antonio",TX,"American Specialty Lager",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,"Rainier Ice","G. Heileman Brewing Co.","San Antonio",TX,"American Specialty Lager",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"Colt Ice","G. Heileman Brewing Co.","San Antonio",TX,"American Specialty Lager",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Gold,"Denver Mountain Wheat","Breckenridge Brewery",Denver,CO,"American Wheat Ale Or Lager",1995,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Saranac Golden","F.X. Matt Brewing Co.",Utica,NY,"American Wheat Ale Or Lager",1995,"-75.226 43.0961",43.0961,-75.226,GABF
Bronze,Hefeweizen-American,"Thomas Kemper Brewery",Seattle,WA,"American Wheat Ale Or Lager",1995,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Bigfoot Barleywine Style Ale","Sierra Nevada Brewing Co.",Chico,CA,"Barley Wine",1995,"-121.8152 39.7575",39.7575,-121.8152,GABF
Bronze,"Old Foghorn Barleywine","Anchor Brewing Co.","San Francisco",CA,"Barley Wine",1995,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Belgian Triple","Pacific Coast Brewing Co.",Oakland,CA,"Belgian-Style Ales",1995,"-122.2165 37.7903",37.7903,-122.2165,GABF
Silver,"Celis Grand Cru","Celis Brewery Inc",Austin,TX,"Belgian-Style Ales",1995,"-97.7517 30.3006",30.3006,-97.7517,GABF
Bronze,"Abbey Trappist Style Ale","New Belgium Brewing Co.","Fort Collins",CO,"Belgian-Style Ales",1995,"-105.0651 40.5475",40.5475,-105.0651,GABF
Gold,"Celis White","Celis Brewery Inc",Austin,TX,"Belgian-Style Specialty Ales",1995,"-97.7517 30.3006",30.3006,-97.7517,GABF
Silver,"Thomas Kemper White","Thomas Kemper Brewery",Seattle,WA,"Belgian-Style Specialty Ales",1995,"-122.3244 47.6211",47.6211,-122.3244,GABF
Bronze,"Belgian Amber Framboise","Cottonwood Brewery",Boone,NC,"Belgian-Style Specialty Ales",1995,"-81.6668 36.2111",36.2111,-81.6668,GABF
Gold,Kolsch,"Stoddard's Brewhouse & Eatery",Sunnyvale,CA,"Blonde Ale",1995,"-122.0257 37.3836",37.3836,-122.0257,GABF
Silver,"Oregon Honey Beer","Portland Brewing Co. (No 2)",Portland,OR,"Blonde Ale",1995,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,"Brewers Golden","Sioux Falls Brewing Co.","Sioux Falls",SD,"Blonde Ale",1995,"-96.7321 43.5397",43.5397,-96.7321,GABF
Gold,"DeGroen's Doppelbock","Baltimore Brewing Co.",Baltimore,MD,Bock,1995,"-76.6144 39.3051",39.3051,-76.6144,GABF
Silver,"Blue Ridge Subliminator Dopplebock","Frederick Brewing Co.",Frederick,MD,Bock,1995,"-77.4157 39.4336",39.4336,-77.4157,GABF
Bronze,"Garten Brau Doppelbock","Capital Brewery Co. Inc",Middleton,WI,Bock,1995,"-89.5058 43.1064",43.1064,-89.5058,GABF
"Honorable Mention","Stoudt's Honey Double Mai-Bock","Stoudt's Brewing Co.",Adamstown,PA,Bock,1995,"-76.0608 40.2417",40.2417,-76.0608,GABF
Silver,Porter,"Stoddard's Brewhouse & Eatery",Sunnyvale,CA,"Brown Porter",1995,"-122.0257 37.3836",37.3836,-122.0257,GABF
Bronze,"Black Butte Porter","Deschutes Brewery (No 2)",Bend,OR,"Brown Porter",1995,"-121.3087 44.0562",44.0562,-121.3087,GABF
Bronze,"Saranac Pale Ale","F.X. Matt Brewing Co.",Utica,NY,"Classic English Style Pale Ale",1995,"-75.226 43.0961",43.0961,-75.226,GABF
"Honorable Mention","Pullman Pale Ale","Riverside Brewing Co.",Riverside,CA,"Classic English Style Pale Ale",1995,"-117.3948 33.9381",33.9381,-117.3948,GABF
Gold,"Red Wolf","Anheuser-Busch, Inc","Saint Louis",MO,"Dark Lager",1995,,,,GABF
Silver,"Dixie Blackened Voodoo Lager","Dixie Brewing Co. Inc","New Orleans",LA,"Dark Lager",1995,"-89.9288 30.0687",30.0687,-89.9288,GABF
Bronze,"Pigs Eye Red Amber Ale","Minnesota Brewing","Saint Paul",MN,"Dark Lager",1995,,,,GABF
Gold,"Snake River Zonker Stout","Snake River Brewing Co.",Jackson,WY,"Dry Stouts",1995,"-110.7745 43.4721",43.4721,-110.7745,GABF
Silver,"Founder's Stout","Mishawaka Brewing Co.",Mishawaka,IN,"Dry Stouts",1995,"-86.1669 41.6736",41.6736,-86.1669,GABF
Bronze,"Irish Stout","Butterfield Brewing Co.",Fresno,CA,"Dry Stouts",1995,"-119.7941 36.7831",36.7831,-119.7941,GABF
Gold,"Finn MacCool Irish Red","Irish Times Pub & Brewery","Palm Beach",FL,"English-Style Brown Ale",1995,"-80.0406 26.6932",26.6932,-80.0406,GABF
Silver,"Irish Red","Crooked River Brewing Co.",Cleveland,OH,"English-Style Brown Ale",1995,"-81.6805 41.4767",41.4767,-81.6805,GABF
"Honorable Mention","Red Mountain Red Ale","Vulcan Brewing Co.",Birmingham,AL,"English-Style Brown Ale",1995,"-86.7987 33.5277",33.5277,-86.7987,GABF
Gold,"Hubsch Pilsner","Sudwerk Privatbrauerei Hubsch",Davis,CA,"European-Style Pilsener",1995,"-121.7365 38.5552",38.5552,-121.7365,GABF
Silver,"Peerless Pilsner","Great Lakes Brewing Co/Ohio",Cleveland,OH,"European-Style Pilsener",1995,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"Stoudt's Pils","Stoudt's Brewing Co.",Adamstown,PA,"European-Style Pilsener",1995,"-76.0608 40.2417",40.2417,-76.0608,GABF
Gold,"Raspberry Rage","Newport Beach Brewing Co.","Newport Beach",CA,"Fruit Beer",1995,"-117.8669 33.6151",33.6151,-117.8669,GABF
Silver,"Razz Wheat","Oaken Barrel Brewing Co.",Greenwood,IN,"Fruit Beer",1995,"-86.1073 39.6019",39.6019,-86.1073,GABF
Bronze,"Royal Raspberry Ale","75th Street Brewery","Kansas City",MO,"Fruit Beer",1995,"-94.5541 39.1239",39.1239,-94.5541,GABF
Gold,"Dusseldorfer Altbier","McNeill's Brewery",Brattleboro,VT,"German-Style Brown / Dusseldorf-Style Altbier",1995,,,,GABF
Silver,"Hornet Tail Ale","Mill Brewery, Eatery & Bakery",Orlando,FL,"German-Style Brown / Dusseldorf-Style Altbier",1995,"-81.3369 28.4772",28.4772,-81.3369,GABF
Bronze,"Wild Horse Ale","Great Basin Brewing Co.",Sparks,NV,"German-Style Brown / Dusseldorf-Style Altbier",1995,"-119.7157 39.5729",39.5729,-119.7157,GABF
Gold,"Heavenly Hefeweizen","Heavenly Daze Brewery & Grill",Denver,CO,"German-Style Wheat Ale",1995,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Wild Pitch Hefeweizen","Sandlot Brewery at Coors Field",Denver,CO,"German-Style Wheat Ale",1995,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Empire Hefeweizen","Empire Brewing Co.","North Syracuse",NY,"German-Style Wheat Ale",1995,"-76.1306 43.1339",43.1339,-76.1306,GABF
Gold,"Artic Wheat","Mountain Sun Pub and Brewery",Boulder,CO,"Herb / Spice Beers",1995,"-105.2523 40.0249",40.0249,-105.2523,GABF
Silver,"Olivers Christmas Ale","Oliver Breweries Ltd",Baltimore,MD,"Herb / Spice Beers",1995,"-76.6144 39.3051",39.3051,-76.6144,GABF
Bronze,"Amber Wit","Spring Street Brewing Co.",Avon,CT,"Herb / Spice Beers",1995,,,,GABF
Gold,"Big D's Vail Pale Ale","Hubcap Brewery & Kitchen - Dallas",Vail,CO,"India Pale Ale",1995,"-106.3608 39.6386",39.6386,-106.3608,GABF
Silver,"Columbus IPA","Pacific Coast Brewing Co.",Oakland,CA,"India Pale Ale",1995,"-122.2165 37.7903",37.7903,-122.2165,GABF
Bronze,"Wet Mountain India Pale Ale","Il Vicino Brewing Co.",Albuquerque,NM,"India Pale Ale",1995,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,"Three Finger Jack Amber","Saxer Brewing Co.","Lake Oswego",OR,"Marzen / Oktoberfeset",1995,"-122.7003 45.4129",45.4129,-122.7003,GABF
Silver,Octoberfest,"Capital Brewery Co. Inc",Middleton,WI,"Marzen / Oktoberfeset",1995,"-89.5058 43.1064",43.1064,-89.5058,GABF
Bronze,"Samuel Adams Octoberfest","Boston Beer Co.",Boston,MA,"Marzen / Oktoberfeset",1995,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,Hellcat,"Liberty Street Brewing Co.",Akron,OH,"Munchener Helles And Export",1995,"-81.5219 41.0798",41.0798,-81.5219,GABF
Silver,"Berghoff Original Lager Beer","Berghoff-Huber Brewing Co.",Monroe,WI,"Munchener Helles And Export",1995,"-89.6381 42.603",42.603,-89.6381,GABF
Bronze,Zeppelin,"Liberty Street Brewing Co.",Akron,OH,"Munchener Helles And Export",1995,"-81.5219 41.0798",41.0798,-81.5219,GABF
Gold,"Kingsbury Red NA","G. Heileman Brewing Co.","San Antonio",TX,"Non-Alcoholic Malt Beverage",1995,"-98.5254 29.4658",29.4658,-98.5254,GABF
Silver,O'Doul's,"Anheuser-Busch, Inc","Saint Louis",MO,"Non-Alcoholic Malt Beverage",1995,,,,GABF
Bronze,"Old Milwaukee NA","Stroh Brewery Co. (The)",Milwaukee,WI,"Non-Alcoholic Malt Beverage",1995,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Black Jack Porter","Left Hand/Tabernash Brewing",Longmont,CO,"Robust Porter",1995,"-105.0996 40.169",40.169,-105.0996,GABF
Silver,"Black Silk","Liberty Street Brewing Co.",Akron,OH,"Robust Porter",1995,"-81.5219 41.0798",41.0798,-81.5219,GABF
Bronze,"Pt. Reyes Porter","Marin Brewing Co.",Larkspur,CA,"Robust Porter",1995,"-122.5313 37.9394",37.9394,-122.5313,GABF
"Honorable Mention","Pullman's Porter","McNeill's Brewery",Brattleboro,VT,"Robust Porter",1995,,,,GABF
Bronze,"Rightfield Red Ale","Sandlot Brewery at Coors Field",Denver,CO,"Scottish-Style Ales",1995,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Smoked Porter","Alaskan Brewing and Bottling Co.",Juneau,AK,"Smoke-Flavored Beers",1995,"-134.1739 58.4546",58.4546,-134.1739,GABF
Silver,"Smoked Chocolate Porter","Rhino Chasers","Culver City",CA,"Smoke-Flavored Beers",1995,"-118.3968 34.0058",34.0058,-118.3968,GABF
Bronze,"Zebulon's Peated Porter","Phantom Canyon Brewing Co.","Colorado Springs",CO,"Smoke-Flavored Beers",1995,"-104.7606 38.8674",38.8674,-104.7606,GABF
Gold,"Hummingbird Ale","Mountain Sun Pub and Brewery",Boulder,CO,Specialty,1995,"-105.2523 40.0249",40.0249,-105.2523,GABF
Silver,"Harvest Rye","Steelhead Brewery & Cafe",Eugene,OR,Specialty,1995,"-123.1173 44.0563",44.0563,-123.1173,GABF
Bronze,"Titanium Wheat","Steelhead Brewery & Cafe",Irvine,CA,Specialty,1995,"-117.7738 33.6772",33.6772,-117.7738,GABF
Gold,"Seabright Oatmeal Stout","Seabright Brewery","Santa Cruz",CA,"Specialty Stouts",1995,"-122.0346 36.9789",36.9789,-122.0346,GABF
Silver,"Steamboat Stout","Marin Brewing Co.",Larkspur,CA,"Specialty Stouts",1995,"-122.5313 37.9394",37.9394,-122.5313,GABF
Bronze,"Farmer Jon's Oatmeal Stout","Heartland Brewing Co.","New York",NY,"Specialty Stouts",1995,"-73.9249 40.6943",40.6943,-73.9249,GABF
"Honorable Mention","Kinnikinick Old Scout Stout","Twenty Tank Brewery","San Francisco",CA,"Specialty Stouts",1995,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Dog Spit Stout","O'Ryans Tavern And Brewery","Las Cruces",NM,"Strong Ale",1995,"-106.7893 32.3265",32.3265,-106.7893,GABF
